param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,param_16,param_17,param_18,param_19,k,ID
0.06579,2.10266,7e-05,2.20655,1.4193,0.84551,1.27153,1.91179,2.13715,0.9998,1.36548,0.48246,0.26349,0.76489,0.00569,0.00425,2.1223,0.9457,0.00978,0.01273,31
0.26082,1.76262,0.00142,2.35188,1.43629,1.82261,0.40605,2.1554,2.03544,1.30067,1.09395,0.55972,0.00034,0.9188,0.08333,0.00452,2.06356,1.20686,0.05806,0.03762,32
0.2748,1.22741,0.00814,1.62271,1.19304,2.08195,0.05967,1.35687,1.50647,1.63849,1.29947,0.44392,0.03771,0.80245,0.00428,0.00131,1.84301,2.18174,0.0255,0.02248,33
0.08637,1.75324,0.09839,2.24834,0.99166,2.04554,0.39515,1.869,1.65869,1.07728,1.48942,0.51689,0.23719,0.79765,0.01427,0.01146,1.42769,0.85012,0.0076,0.04209,34
0.27004,1.01907,3e-05,2.15988,1.00881,0.94677,0.38244,1.42162,1.98662,1.13577,1.28445,0.5043,0.0343,0.65477,0.00027,2e-05,2.31066,2.25233,0.03982,0.07212,35
0.34706,2.12623,0.00263,2.22782,1.44324,1.61211,0.81702,2.43613,1.76574,1.45512,1.06066,0.6157,0.19506,0.57571,0.00651,0.0111,1.43616,0.71404,0.07878,0.07033,36
0.07441,1.50186,0.00218,1.89895,1.37082,0.94845,0.83342,2.24139,1.95942,1.46844,1.64132,0.42572,0.18562,0.87554,0.01055,1e-05,1.91145,1.33116,3e-05,0.0749,37
0.28178,0.93296,0.03039,1.86269,0.94043,1.23332,0.09581,1.37863,1.74068,1.08042,1.21959,0.46215,0.00482,0.90424,0.03913,9e-05,2.06884,2.08367,0.00166,0.03533,38
0.2692,1.00599,0.11262,1.56379,0.8937,1.95023,0.11157,1.64838,2.05582,1.44835,1.58812,0.5202,0.43854,0.75669,0.04113,0.00437,1.71763,2.30188,0.09681,0.00835,39
0.0533,1.61633,0.03102,1.91158,1.19493,0.99383,1.18288,1.73416,2.36623,1.27256,1.37904,0.39776,0.11867,0.73356,3e-05,0.00173,2.10671,1.70765,0.00174,0.00504,40
0.3683,2.12282,0.00026,1.79414,1.31821,1.84175,1.41304,1.02022,1.38538,1.89744,1.11764,0.51585,0.09246,0.67469,0.00266,0.00071,0.98918,1.2583,0.04728,0.04192,41
0.24087,1.68259,0.10183,2.01453,1.40396,1.1222,0.64802,1.83851,1.46314,1.05363,1.32299,0.47792,0.13782,0.76662,0.00475,0.00017,1.86347,0.83334,0.01592,0.0435,42
